,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,5000.0,833.3333333333334,2579.973333333333,1666.6666666666667,416.6666666666667
Feb,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,3493.866666666666
Mar,5000.0,833.3333333333334,2750.0,1666.6666666666667,1577.2000000000003
Apr,5000.0,833.3333333333334,2579.9733333333334,1666.6666666666667,416.6666666666667
May,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,5785.386666666667
Jun,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,11255.466666666667
Jul,5000.0,10159.199999999999,2750.0,1666.6666666666667,678.213333333335
Aug,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,8709.993905284831
Sep,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,8203.883047357584
Oct,5000.0,833.3333333333334,2073.386666666673,1666.6666666666667,6742.069714024246
Nov,5000.0,7907.466666666666,2750.0,1666.6666666666667,416.6666666666667
Dec,5000.0,833.3333333333334,2750.0,1666.6666666666667,8303.920000000006
