,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,33.586666666666616,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Feb,33.586666666666616,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Mar,0.0,83.33333333333334,152.44666666666663,145.83333333333334,41.66666666666667
Apr,0.0,83.33333333333334,145.5826666666666,145.83333333333334,41.66666666666667
May,53.03466666666671,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jun,176.5866666666666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jul,175.4426666666667,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Aug,168.57866666666666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Sep,51.89066666666659,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Oct,105.94399999999973,83.33333333333334,157.47066666666683,145.83333333333334,41.66666666666667
Nov,208.33333333333334,83.33333333333334,0.0,145.83333333333334,294.6599999999999
Dec,208.33333333333334,83.33333333333334,0.0,145.83333333333334,419.3559999999998
