,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,12199.999999626667
Feb,5000.0,6128.554695997585,2750.0,1666.6666666666667,416.6666666666667
Mar,5000.0,5903.083047805585,2750.0,1666.6666666666667,416.6666666666667
Apr,5000.0,833.3333333333334,1815.4490965406394,1666.6666666666667,6112.967283478278
May,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,6787.083048253585
Jun,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,6101.645261083624
Jul,5000.0,833.3333333333334,2667.8842367927,1666.6666666666667,416.6666666666667
Aug,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,2621.069591082666
Sep,5000.0,833.3333333333334,2750.0,1666.6666666666667,2583.333335872
Oct,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.666666218665
Nov,5000.0,833.3333333333334,2750.0,1666.6666666666667,7716.666669280001
Dec,5000.0,6868.362262916809,2750.0,1666.6666666666667,3560.568145104524
