,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,208.33333333333334,83.33333333333334,187.5,145.83333333333334,137.66666666319992
Feb,208.33333333333334,83.33333333333334,187.5,145.83333333333334,112.12217702239987
Mar,208.33333333333334,83.33333333333334,187.5,145.83333333333334,42.33333337839993
Apr,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
May,18.33333336106662,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jun,0.0,83.33333333333334,136.04448960266657,145.83333333333334,41.66666666666667
Jul,0.0,83.33333333333334,110.49999996186662,145.83333333333334,41.66666666666667
Aug,0.0,83.33333333333334,136.04448960266657,145.83333333333334,41.66666666666667
Sep,18.33333336106662,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Oct,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Nov,208.33333333333334,83.33333333333334,72.91102083280055,145.83333333333334,156.92231254559937
Dec,208.33333333333334,83.33333333333334,0.0,145.83333333333334,299.62217702239985
