Description,Predicted demand for each product for each month,,
,,,
,Prod 1,Prod 2,Prod 3
Month 0,0,0,0
Month 1,61.11111111,24.44444444,30.55555556
Month 2,59.064277,23.6257108,29.53213851
Month 3,53.47222222,21.38888889,26.73611112
Month 4,45.83333333,18.33333333,22.91666667
Month 5,38.19444444,15.27777778,19.09722223
Month 6,32.60238966,13.04095586,16.30119483
Month 7,30.55555555,12.22222222,15.27777778
Month 8,32.60238966,13.04095586,16.30119483
Month 9,38.19444444,15.27777778,19.09722223
Month 10,45.83333333,18.33333333,22.91666667
Month 11,53.47222222,21.38888889,26.73611112
Month 12,59.064277,23.6257108,29.53213851
