,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,41.66666666666667,95.83333333333334,191.66666666666669,145.4166666177,43.333333333333336
Feb,105.4166664218331,95.83333333333334,191.66666666666669,81.6666668625335,43.333333333333336
Mar,120.41666661769997,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Apr,41.66666666666667,95.83333333333334,191.66666666666669,145.41666661769997,43.333333333333336
May,120.41666661769989,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Jun,120.41666661769997,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Jul,120.41666661770005,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Aug,120.41666661769997,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Sep,120.41666661769997,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Oct,41.66666666666667,95.83333333333334,191.66666666666669,145.41666661769997,43.333333333333336
Nov,41.66666666666667,95.83333333333334,191.66666666666669,145.41666661769997,43.333333333333336
Dec,120.41666661769958,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
