,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
Feb,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
Mar,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
Apr,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
May,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
Jun,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
Jul,457.7125000364247,375.0,621.0,416.6666666666667,333.33333333333337
Aug,750.0,375.0,0.0,416.6666666666667,662.045833369758
Sep,750.0,375.0,0.0,416.6666666666667,662.045833369758
Oct,750.0,375.0,0.0,416.6666666666667,662.045833369758
Nov,750.0,375.0,0.0,416.6666666666667,662.045833369758
Dec,750.0,375.0,0.0,416.6666666666667,662.045833369758
