,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Feb,2971.666666226665,1250.0,2916.666666666667,2104.166666666667,437.5
Mar,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Apr,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
May,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226663
Jun,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Jul,2971.6666662266684,1250.0,2916.666666666667,2104.166666666667,437.5
Aug,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Sep,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Oct,1885.000001320001,1250.0,2916.666666666667,2104.166666666667,1524.1666649066638
Nov,2971.666666226665,1250.0,2916.666666666667,2104.166666666667,437.5
Dec,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
